127.0.0.1 - - [02/Aug/2024:17:13:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:19 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookAll.jsp HTTP/1.1" 200 23990
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EB%A7%88%EB%B2%95%EC%82%AC%EC%9D%98%EB%8F%8C.jpg HTTP/1.1" 200 61461
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%EB%89%B4%EC%8A%A4%EC%9D%98%EB%B0%9C%EA%B2%AC%EB%AF%B8%EA%B5%AD%EC%8B%A0%EB%AC%B8%EC%9D%98%EC%82%AC%ED%9A%8C%EC%82%AC.jpg HTTP/1.1" 200 150199
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%ED%95%9C%EA%B5%AD%EC%84%9C%EC%A7%80%ED%95%99.jpg HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%ED%98%95%EC%9D%B4%EC%83%81%ED%95%99%EA%B3%BC%EA%B3%BC%ED%95%99%EB%B0%96%EC%86%8C%EC%84%A4.jpg HTTP/1.1" 200 13213
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%EB%AC%B8%ED%97%8C%EC%A0%95%EB%B3%B4%ED%95%99%EA%B0%9C%EB%A1%A0.jpg HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%EC%82%AC%EC%A0%84%EB%B3%B4%EB%8A%94%EB%B2%95.jpg HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:21 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/bookImage/%ED%94%8C%EB%9D%BC%ED%86%A4%EA%B5%AD%EA%B0%80%EA%B0%95%EC%9D%98.jpg HTTP/1.1" 200 195208
